proximo_encoded
521
1009
3220
1487
775
2335
1986
1687
1056
2869
992
1409
1389
456
702
1824
2496
1467
2302
579
1486
3003
2977
2738
1044
619
157
2951
3339
1759
895
2416
1939
1354
3277
1343
1206
1949
2180
2179
2904
1886
791
3475
537
494
182
1557
1572
835
541
3293
2388
2008
1303
3643
829
770
3735
576
1080
1511
2332
1024
3074
1814
2441
1371
1582
823
2721
2166
3504
496
2355
2126
1165
475
1888
525
1594
3214
2552
1082
341
1946
3634
2367
1689
1822
2670
200
1317
2733
75
257
2779
1253
3466
69
2809
1947
3147
2619
251
827
558
677
2044
1990
1843
1904
1122
1165
2312
174
3544
710
706
1055
620
1493
875
141
3451
2686
3050
3456
2678
2778
2129
2273
2001
2684
2717
1004
1524
1259
2364
110
3604
233
2136
326
3078
1515
2637
2302
2303
733
1690
2027
1033
563
1113
2269
349
748
1179
1550
3088
3767
1060
601
2443
2407
1731
2724
3421
51
1682
2577
3692
3625
2185
2975
899
424
500
1629
3472
96
2808
555
2062
2210
316
828
1020
3083
2803
1159
3392
488
2878
494
1314
2781
2481
2690
2933
951
1055
2395
3581
176
2179
2979
929
1024
193
3435
2386
315
2314
2959
3349
1273
3059
1014
318
1418
1940
1550
1118
354
3393
3657
1820
1120
3400
904
1055
1169
603
1154
2815
2899
1434
2539
97
1122
1452
3198
351
2953
564
1942
1339
2664
1466
397
3265
1024
2335
3479
3377
1240
138
3487
2522
3539
2747
479
858
2397
3344
1994
3506
3695
1789
2
3788
537
2817
922
805
2647
453
2021
1742
2284
1013
1434
3492
2872
3131
2311
2404
1276
1122
2701
1826
1604
865
2815
1127
2118
2448
1102
126
984
2627
300
2347
3042
2816
1632
1413
3077
1801
2640
402
2188
660
850
1714
436
1428
1095
2456
820
2301
2182
3324
2508
1556
1319
1596
2920
2147
380
2902
2876
2107
2580
68
3218
2517
679
3232
1412
3233
1982
1543
1497
1947
2935
1975
1327
3655
2944
1328
3520
815
2626
3448
3621
3750
505
2165
611
3186
2963
1139
2673
127
1015
1722
3104
2954
1959
2268
2300
2406
3207
1913
1505
187
2487
494
3384
984
30
2175
1194
1941
2460
3087
1190
1525
1429
3181
2589
3561
903
1762
525
1757
1268
517
3292
2823
374
1767
3436
2969
2849
1118
2128
1463
688
1926
1976
2190
1013
395
3202
208
2604
1269
305
1404
2908
198
1676
917
1336
3399
494
3768
773
63
2722
1897
2791
2010
459
2994
2966
1323
245
1046
69
2531
987
662
444
3607
732
3530
217
207
1841
13
79
1999
349
553
3555
2784
727
1936
2922
2456
3385
3031
3605
2539
928
3599
2454
2157
3287
1340
3609
1852
1063
2641
2792
2327
2016
3102
1122
2539
2187
2927
3330
2374
1771
30
2836
339
1091
415
329
2436
2096
297
447
3708
1499
1695
151
2069
2559
2212
2453
631
1422
929
2215
1024
1577
2693
2685
410
1118
3215
2887
197
3285
2234
2217
2169
1621
2892
649
2274
2168
3234
2087
2965
1411
3002
3334
1646
3470
3704
1459
581
3068
664
2150
1153
3663
3099
1111
2244
1142
3637
419
3231
2342
3516
1204
442
1879
1824
1127
125
14
3498
3095
3312
173
2167
2168
841
214
647
1508
146
1624
2540
