ID do comentário,ID do canal,Carimbo de data/hora em que o comentário foi criado,Preço,ID do comentário principal,ID do post,ID do vídeo,Texto do comentário,ID do comentário de nível superior
UgxeJ7v7oEHcmNpk5nl4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-12-18T19:11:53.462222+00:00,0,,,3j08YlpCsxA,"{""text"":""Oi""}",
UgwF1cgJqSA-xi3nP5x4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-12-04T16:40:44.597678+00:00,0,,,Lj70CRs2wz4,"{""text"":""Que saudade desse filme""}",
UgxWZfCOERVaTjMtmP14AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-12-01T21:58:33.672455+00:00,0,,,IBOFtosy1Ms,"{""text"":""Oi""}",
Ugx8owzR5mMMyozBNBN4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-12-01T14:06:36.31253+00:00,0,,,tEk-w9sQ7ys,"{""text"":""Manda salve""}",
UgwtiWQWEDWLyEBy-Q54AaABAg.9G_2DC9pm-M9Gex1jjcLBq,UCDBnBJ2_rN3m97D1RNJju4Q,2020-11-30T00:13:38.980151+00:00,0,UgwtiWQWEDWLyEBy-Q54AaABAg,,Tart5uvChdo,"{""text"":""Depois que a namorada dele chegou, estragou o canal dele""}",UgwtiWQWEDWLyEBy-Q54AaABAg
UgzvsCpZcE5EVvhK7Dt4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-11-30T00:12:42.176778+00:00,0,,,Tart5uvChdo,"{""text"":""Alguém de 2020 aí?""}",
UgzNuaDUFN5YFUN15ox4AaABAg.9Fgj1FAyrVE9GSoSaU-bZB,UCDBnBJ2_rN3m97D1RNJju4Q,2020-11-24T21:48:32.716508+00:00,0,UgzNuaDUFN5YFUN15ox4AaABAg.9Fgj1FAyrVE9GSaQ0xIRbT,,tyB5zAdyZuU,"{""text"":""@Two_"",""mention"":{""externalChannelId"":""UCItB1bmQ6kG6jzPPXwgy7Sw""}},{""text"":"" oi""}",UgzNuaDUFN5YFUN15ox4AaABAg
UgwfIIw8uoJIBK4-pxx4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-11-24T12:37:49.218499+00:00,0,,,K-ZRtHiGIi0,"{""text"":""Vim pelo Mantovani""}",
UgwnVrQEpug8sS0yloZ4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-11-21T00:40:19.139448+00:00,0,,,OYjQcYOT1Oc,"{""text"":""Me add por favor      nick: Maestro_Gab Plataforma: PS4""}",
UgxNj6RWNa4ewhkQ7rN4AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-11-21T00:39:55.772601+00:00,0,,,OYjQcYOT1Oc,"{""text"":""Primeiro a comentar""}",
UgyLWcV6zsNZYu-Zrz14AaABAg,UCDBnBJ2_rN3m97D1RNJju4Q,2020-11-19T21:40:12.50603+00:00,0,,,phn_w7E2vew,"{""text"":""Segue meu istagram @gui_naca_2020""}",
