Código da playlist,Adicionar novos vídeos ao topo,Título da playlist (original),Idioma do título da playlist (original),Carimbo de data/hora da criação da playlist,Carimbo de data/hora da atualização da playlist,Ordem dos vídeos da playlist,Visibilidade da playlist
PLC-hbWHxHTJejWR7JJrM-sDJjNsUU4RZC,Falso,musicas para estudar,,2022-01-10T22:52:28+00:00,2025-04-30T16:16:27+00:00,Manual,Não listados
PLC-hbWHxHTJdLOa7C9BnEWdAgynQ4LGc3,Falso,Just Dance,,2021-12-28T11:09:29+00:00,2025-12-15T00:18:14+00:00,Manual,Não listados
PLC-hbWHxHTJfPvOTXIaiqbmIB_fZyyujI,Verdadeiro,Watch later,en_US,2020-02-10T00:38:35+00:00,2025-12-27T02:02:34+00:00,Manual,Privado





