ID do chat ao vivo,ID do canal,Marcação de tempo da criação do chat ao vivo,Preço,ID do vídeo,Texto do chat ao vivo
UgyXEB2evQF8rxUmPRR4AaABDqgBiMWBngI,UCxtis1qcnC7uy-bqP70JxoA,2024-06-07T23:49:50.183192+00:00,0,N-x1IAaJ6P8,"{""text"":""uma dúvida , o diário pode ser on-line ou apenas físico? ""}"
UgxDNNDQ0wlJkDRwV_t4AaABDqgB7quzhAI,UCxtis1qcnC7uy-bqP70JxoA,2024-06-07T22:49:41.229553+00:00,0,6vK60z_0ayk,"{""text"":""campeão ""}"





