video_id,canal_id,categoria_id,titulo,tags,duracao_segundos,idioma_padrao,view_count,like_count,data_publicacao
8hlXix0woD0,UCvILah8hAWYhYOmAG3ZjvBA,10,Give me a good reason and I’ll release this song next Friday,,38,en,7908135,426595,2022-10-18T19:06:03Z
p8LMsHOMgPI,UC5QESDRf1F0v1Ig8KHpCVCQ,22,Benson Boone’s Transformation Over The Last Few Years Was Just INCREDIBLE🤯🎤,,51,en,26916962,836056,2025-07-22T19:19:58Z
dj9EfK82czw,UC6YDpoR_kV3-t0scbYo8lBQ,22,Ranking The Best Singing Coach Moments 🎤 #shorts #ranking #singing,best singing coach moments|ranking best singing moments|best singing coaching moments|singing coach moments|ranking singing moments|best singing moments|ranking best moments|singing coaching moments|singing moments ranked|random singing moments|ranking moments|singing moments|online singing coach|heartwarming singing moments|singing coach|singing talent moments|top singing moments|famous singing coaches|epic singing moments|ranking singing videos,59,en,11169899,0,2025-06-27T19:45:00Z
7W8aiV06B3s,UCBB4OBPOWGPiaCRHA3mDHFg,27,Singleton vs Factory,singleton|how to implement singleton design pattern|lazy loading|lazy loading in singleton design pattern|singleton pattern|design pattern|software architecture|vct|vct software architecture|best design pattern|popular design pattern|step by step|study|threadsafe|thread safe|java|java development|java design pattern,85,en,1223,18,2021-10-23T05:01:30Z
MKaQESfzJWI,UCa7zCmT6e-3FR-JK3mQftbQ,10,Valerie - Amy Winehouse - Cover,Valerie|Amy Winehouse|Music|Cover|Band|Live Music|Classic|Pop R&B,319,en,109502,3242,2018-03-19T00:41:27Z
vd_651EWRyU,UCNRTC5AIvyg_1TOyZn5xvgg,10,O NOME DELE É JESUS - Dunamis Music (Cover),,135,pt-PT,308,14,2022-04-19T22:30:04Z
TiE9yF-zUVk,UC5oWsiCr6N8NRC8uzzHx-3Q,22,Venha conhecer o EducaEco!,,162,pt-PT,19,4,2024-11-01T14:20:16Z
