data_inscricao,canal_titulo,canal_id,total_videos_canal,videos_novos_pendentes
2026-01-13T00:32:07.538222Z,The Dream School,UCePyJZBjplMkrMp0kW-HxFg,58,0
2025-06-09T03:03:44.890523Z,Calebe Cravo,UCbwRqQqZh1ycZ_cZw3rjOLA,88,1
2025-08-29T19:18:19.227812Z,Meta Developers,UCP_lo1MFyx5IXDeD9s_6nUw,1088,0
2025-05-13T11:04:30.07107Z,Repo Dev,UChzps1qR8zGLHCDQ5E51GOA,12,0
2025-05-21T03:12:05.810269Z,Allie Sherlock,UCGnsRwFS8Xm13lMAeouzT9g,2163,1
2025-04-02T14:39:10.104485Z,Lorena Vieira,UCwSVZMy2NHxdmVt2-7EeNOA,8,0
2024-05-14T21:45:34.871143Z,WoMakersCode,UCC_4Qpl1-Kysd-9hRTsoX8w,305,1
